9;3;513 607 717 924 1633 1837 1978 2088 2330
10;2;58 326 513 691 717 924 1633 1978 2088 2330
10;2;326 513 607 717 924 1633 1837 1978 2088 2330
10;3;513 717 811 924 1465 1633 1790 1978 2088 2330
12;2;232 513 717 811 1394 1465 1593 1633 1886 2088 2118 2330
12;2;122 513 717 811 924 1394 1465 1633 1790 1978 2088 2330
13;2;20 254 513 607 717 924 1414 1633 1837 1978 2088 2206 2330
13;2;20 159 254 513 717 811 1394 1465 1633 2088 2192 2330 2384
13;2;232 326 513 717 811 924 1055 1465 1633 1790 1978 2088 2330
17;2;513 586 607 717 811 891 924 1202 1250 1465 1633 1790 1837 1912 1978 2088 2330
